"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Centennial School District R-1 Director - District 2 ( 1)","Lori Espinoza","",346,68.11,1341,551,1,1,"0","0"
2,"Centennial School District R-1 Director - District 2 ( 1)","Colleen Romero","",162,31.89,1341,551,1,1,"0","0"
3,"Centennial School District R-1 Director - District 3 ( 1)","Joellen Sandoval","",164,31.06,1341,551,1,1,"0","0"
4,"Centennial School District R-1 Director - District 3 ( 1)","Lucas Casias","",364,68.94,1341,551,1,1,"0","0"
5,"Centennial School District R-1 Director - District 4 ( 1)","Carlos C. DeLeon","",420,100.00,1341,551,1,1,"0","0"
6,"Sierra Grande School District R-30 Director - District 1 ( 1)","Castorina Gilmartin","",291,100.00,1359,338,1,1,"0","0"
7,"Sierra Grande School District R-30 Director - District 3 ( 1)","Steven L. Woelfel","",97,30.31,1359,338,1,1,"0","0"
8,"Sierra Grande School District R-30 Director - District 3 ( 1)","Wendy L. Fischer","",223,69.69,1359,338,1,1,"0","0"
