"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Pueblo City Council Member-At Large ( 2)","Dennis Flores","",10518,26.11,70916,24258,4,4,"0","0"
2,"City of Pueblo City Council Member-At Large ( 2)","Charlotte Perez","",3601,8.94,70916,24258,4,4,"0","0"
3,"City of Pueblo City Council Member-At Large ( 2)","Joseph A. Latino","",5236,13.00,70916,24258,4,4,"0","0"
4,"City of Pueblo City Council Member-At Large ( 2)","Jason Munoz","",4453,11.05,70916,24258,4,4,"0","0"
5,"City of Pueblo City Council Member-At Large ( 2)","Mark Aliff","",6694,16.61,70916,24258,4,4,"0","0"
6,"City of Pueblo City Council Member-At Large ( 2)","Ieshia M. Jiron","",3369,8.36,70916,24258,4,4,"0","0"
7,"City of Pueblo City Council Member-At Large ( 2)","Kevin Cover","",6418,15.93,70916,24258,4,4,"0","0"
8,"City of Pueblo City Council Member-District 1 ( 1)","Michael Stapleton","",1470,26.22,18148,6223,2,2,"0","0"
9,"City of Pueblo City Council Member-District 1 ( 1)","Bob Schilling","",2308,41.16,18148,6223,2,2,"0","0"
10,"City of Pueblo City Council Member-District 1 ( 1)","Tommy Farrell","",1829,32.62,18148,6223,2,2,"0","0"
11,"City of Pueblo City Council Member-District 3 ( 1)","Ed Brown","",5033,67.73,19761,8556,1,1,"0","0"
12,"City of Pueblo City Council Member-District 3 ( 1)","Joshua Bruns","",2398,32.27,19761,8556,1,1,"0","0"
13,"City of Pueblo Member Pueblo Board of Water Works ( 1)","Sandy Gutierrez","",18555,100.00,70916,24258,4,4,"0","0"
14,"City of Pueblo Civil Service Commissioner ( 1)","Dan Archibeque","",17302,100.00,70916,24258,4,4,"0","0"
15,"Pueblo School District No. 60 Director At Large ( 2)","R. Kenneth O'Neal II","",5070,12.52,72283,24820,4,4,"0","0"
16,"Pueblo School District No. 60 Director At Large ( 2)","Dotti Calhoun","",3906,9.64,72283,24820,4,4,"0","0"
17,"Pueblo School District No. 60 Director At Large ( 2)","Taylor Voss","",8158,20.14,72283,24820,4,4,"0","0"
18,"Pueblo School District No. 60 Director At Large ( 2)","Margaret Wright","",6091,15.04,72283,24820,4,4,"0","0"
19,"Pueblo School District No. 60 Director At Large ( 2)","Dennis Maes","",17281,42.66,72283,24820,4,4,"0","0"
20,"Pueblo County Ballot Issue 1A ( 1)","Yes/For","",17620,46.32,109595,38838,8,8,"0","0"
21,"Pueblo County Ballot Issue 1A ( 1)","No/Against","",20421,53.68,109595,38838,8,8,"0","0"
22,"City of Pueblo Ballot Question 2A ( 1)","Yes/For","",12244,51.73,70916,24258,4,4,"0","0"
23,"City of Pueblo Ballot Question 2A ( 1)","No/Against","",11426,48.27,70916,24258,4,4,"0","0"
24,"City of Pueblo Ballot Issue 2B ( 1)","For The Ordinance","",14982,64.28,70916,24258,4,4,"0","0"
25,"City of Pueblo Ballot Issue 2B ( 1)","Against The Ordinance","",8324,35.72,70916,24258,4,4,"0","0"
26,"City of Pueblo Ballot Question 2C ( 1)","Yes/For","",13572,57.70,70916,24258,4,4,"0","0"
27,"City of Pueblo Ballot Question 2C ( 1)","No/Against","",9951,42.30,70916,24258,4,4,"0","0"
28,"City of Pueblo Ballot Issue 300 ( 1)","Yes/For","",11736,49.00,70916,24258,4,4,"0","0"
29,"City of Pueblo Ballot Issue 300 ( 1)","No/Against","",12216,51.00,70916,24258,4,4,"0","0"
30,"Colorado City Metropolitan District Ballot Issue 5A ( 1)","Yes/For","",326,49.32,1616,664,2,2,"0","0"
31,"Colorado City Metropolitan District Ballot Issue 5A ( 1)","No/Against","",335,50.68,1616,664,2,2,"0","0"
32,"Colorado City Metropolitan District Ballot Issue 5B ( 1)","Yes/For","",425,64.20,1616,664,2,2,"0","0"
33,"Colorado City Metropolitan District Ballot Issue 5B ( 1)","No/Against","",237,35.80,1616,664,2,2,"0","0"
34,"Pueblo West Metropolitan District Ballot Issue 5C ( 1)","Yes/For","",5222,66.04,21812,7920,2,2,"0","0"
35,"Pueblo West Metropolitan District Ballot Issue 5C ( 1)","No/Against","",2685,33.96,21812,7920,2,2,"0","0"
