"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Boulder Valley School District RE-2 Director District B ( 1)","Christina Marquis","",312,100.00,2341,569,3,3,"0","0"
2,"Boulder Valley School District RE-2 Director District E ( 1)","Donna Miers","",168,47.46,2341,569,3,3,"0","0"
3,"Boulder Valley School District RE-2 Director District E ( 1)","Raj Rawat","",65,18.36,2341,569,3,3,"0","0"
4,"Boulder Valley School District RE-2 Director District E ( 1)","Dean Vlachos","",121,34.18,2341,569,3,3,"0","0"
5,"Boulder Valley School District RE-2 Director District F ( 1)","Kitty Sargent","",173,61.79,2341,569,3,3,"0","0"
6,"Boulder Valley School District RE-2 Director District F ( 1)","Alexandra Eddy","",107,38.21,2341,569,3,3,"0","0"
7,"Gilpin County Ballot Issue 1A ( 1)","Yes/For","",946,66.76,4909,1418,6,6,"0","0"
8,"Gilpin County Ballot Issue 1A ( 1)","No/Against","",471,33.24,4909,1418,6,6,"0","0"
