"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Crowley County School District RE-1J Director At Large (Vote For 4)","Jennifer Morgan","",6,50.00,18,14,1,1,"0","0"
2,"Crowley County School District RE-1J Director At Large (Vote For 4)","Leif R. Berg","",3,25.00,18,14,1,1,"0","0"
3,"Crowley County School District RE-1J Director At Large (Vote For 4)","Lisa Torgler","",3,25.00,18,14,1,1,"0","0"
4,"Crowley County School District RE-1J Director At Large (Vote For 4)","Carl Acord","",0,0.00,18,14,1,1,"0","0"
5,"Genoa-Hugo School District C-113 Director - District B (Vote For 1)","Vicky Miller","",206,56.44,928,371,1,1,"0","0"
6,"Genoa-Hugo School District C-113 Director - District B (Vote For 1)","Rick Lockhart","",159,43.56,928,371,1,1,"0","0"
7,"Genoa-Hugo School District C-113 Director - District E (Vote For 1)","Robert L. Kraxberger","",285,100.00,928,371,1,1,"0","0"
8,"Limon School District RE-4J School Board Director (Vote For 3)","Craig Bailey","",456,26.30,1499,628,1,1,"0","0"
9,"Limon School District RE-4J School Board Director (Vote For 3)","Wendy Pottorff","",446,25.72,1499,628,1,1,"0","0"
10,"Limon School District RE-4J School Board Director (Vote For 3)","J. Troy Jaklich","",343,19.78,1499,628,1,1,"0","0"
11,"Limon School District RE-4J School Board Director (Vote For 3)","James Gillis","",108,6.23,1499,628,1,1,"0","0"
12,"Limon School District RE-4J School Board Director (Vote For 3)","Theron Perry","",381,21.97,1499,628,1,1,"0","0"
13,"Crowley County School District RE-1J Ballot Issue 3A (Vote For 1)","YES / FOR","",1,7.14,18,14,1,1,"0","0"
14,"Crowley County School District RE-1J Ballot Issue 3A (Vote For 1)","NO / AGAINST","",13,92.86,18,14,1,1,"0","0"
15,"Crowley County School District RE-1J Ballot Issue 3B (Vote For 1)","YES / FOR","",1,7.14,18,14,1,1,"0","0"
16,"Crowley County School District RE-1J Ballot Issue 3B (Vote For 1)","NO / AGAINST","",13,92.86,18,14,1,1,"0","0"
