"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Salida Mayor (Vote For 1)","Jim LiVecchi","",833,31.09,4386,2706,3,3,"0","0"
2,"City of Salida Mayor (Vote For 1)","P.T. Wood","",1846,68.91,4386,2706,3,3,"0","0"
3,"City of Salida City Council Ward 1 (Vote For 1)","Monika Griesenbeck","",247,25.86,1443,966,1,1,"0","0"
4,"City of Salida City Council Ward 1 (Vote For 1)","Dan Shore","",708,74.14,1443,966,1,1,"0","0"
5,"City of Salida City Council Ward 2 (Vote For 1)","Richard Leavitt","",277,29.04,1554,980,1,1,"0","0"
6,"City of Salida City Council Ward 2 (Vote For 1)","Justin Critelli","",677,70.96,1554,980,1,1,"0","0"
7,"City of Salida City Council Ward 3 (Vote For 1)","Harald Kasper","",497,66.44,1389,760,1,1,"0","0"
8,"City of Salida City Council Ward 3 (Vote For 1)","Melodee Hallett","",251,33.56,1389,760,1,1,"0","0"
9,"Buena Vista School District R-31 Director District B (Vote For 1)","Kenneth McMurry","",2428,100.00,6500,3534,1,1,"0","0"
10,"Buena Vista School District R-31 Director District D (Vote For 1)","Erik Kent Phillips","",1838,100.00,6500,3534,1,1,"0","0"
11,"Salida School District R-32-J District 1 (Vote For 1)","Penny Wilken","",2620,100.00,7910,3794,4,4,"0","0"
12,"Salida School District R-32-J District 3 (Vote For 1)","Cheri Post","",2591,100.00,7910,3794,4,4,"0","0"
13,"Salida School District R-32-J District 5 (Vote For 1)","Kyle Earhart","",2379,100.00,7910,3794,4,4,"0","0"
14,"Salida School District R-32-J Director At Large (Vote For 1)","Loraine P. Isenberger","",933,28.58,7910,3794,4,4,"0","0"
15,"Salida School District R-32-J Director At Large (Vote For 1)","Jeannie Peters","",2332,71.42,7910,3794,4,4,"0","0"
16,"City of Salida Ballot Issue 2A (Vote For 1)","Yes/For","",1474,59.46,4386,2706,3,3,"0","0"
17,"City of Salida Ballot Issue 2A (Vote For 1)","No/Against","",1005,40.54,4386,2706,3,3,"0","0"
18,"Buena Vista School District R-31 Ballot Issue 3A (Vote For 1)","Yes/For","",2043,58.07,6500,3534,1,1,"0","0"
19,"Buena Vista School District R-31 Ballot Issue 3A (Vote For 1)","No/Against","",1475,41.93,6500,3534,1,1,"0","0"
