"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Springfield School District RE-4 School Board Director (Vote For 2)","Pamela D. Crane","",264,25.36,1483,576,1,1,"0","0"
2,"Springfield School District RE-4 School Board Director (Vote For 2)","Tyler K. Gibson","",396,38.04,1483,576,1,1,"0","0"
3,"Springfield School District RE-4 School Board Director (Vote For 2)","Larry Duncan","",381,36.60,1483,576,1,1,"0","0"
4,"Walsh School District RE 1 School Board Director (Vote For 2)","Timothy Hume","",300,43.35,715,365,1,1,"0","0"
5,"Walsh School District RE 1 School Board Director (Vote For 2)","Todd C. Randolph","",248,35.84,715,365,1,1,"0","0"
6,"Walsh School District RE 1 School Board Director (Vote For 2)","Darlene ''Dolly'' Morrow","",144,20.81,715,365,1,1,"0","0"
