"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Montrose County School District RE-1J School Board Director District A (Vote For 1)","Jeff Bachman","",6372,100.00,0,10415,1,1,"0","0"
2,"Montrose County School District RE-1J School Board Director District B (Vote For 1)","Jacob H. Suppes","",6590,100.00,0,10415,1,1,"0","0"
3,"Montrose County School District RE-1J School Board Director District C (Vote For 1)","Gayle Johnson","",6429,100.00,0,10415,1,1,"0","0"
4,"Montrose County School District RE-1J School Board Director District E (Vote For 1)","AJ Smith","",3188,39.33,0,10415,1,1,"0","0"
5,"Montrose County School District RE-1J School Board Director District E (Vote For 1)","Sarah Fishering","",4918,60.67,0,10415,1,1,"0","0"
6,"Montrose Regional Library District Ballot Issue 5A (Vote For 1)","Yes/For","",6425,59.36,0,10902,2,2,"0","0"
7,"Montrose Regional Library District Ballot Issue 5A (Vote For 1)","No/Against","",4398,40.64,0,10902,2,2,"0","0"
