"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
84,"City of Westminster City Councillor (Vote For 3)","Lindsey Smith","",4816,15.75,43826,11830,2,2,"0","0"
85,"City of Westminster City Councillor (Vote For 3)","Mark Clark","",4902,16.03,43826,11830,2,2,"0","0"
86,"Adams 12 Five Star Schools Director District No. 3 (Vote For 1)","Joshua Bastian","",7999,32.70,116164,27767,13,13,"0","0"
87,"Adams 12 Five Star Schools Director District No. 3 (Vote For 1)","Kathy Plomer","",16462,67.30,116164,27767,13,13,"0","0"
88,"Adams 12 Five Star Schools Director District No. 4 (Vote For 1)","Brian Batz","",20467,100.00,116164,27767,13,13,"0","0"
89,"Adams County School District 14 School Board Directors (Vote For 2)","Connie Quintana","",1207,29.05,15781,2631,5,5,"0","0"
90,"Adams County School District 14 School Board Directors (Vote For 2)","Joseph Dreiling","",909,21.88,15781,2631,5,5,"0","0"
91,"Adams County School District 14 School Board Directors (Vote For 2)","Brian Josef Reichel","",684,16.46,15781,2631,5,5,"0","0"
92,"Adams County School District 14 School Board Directors (Vote For 2)","Bill Hyde","",1355,32.61,15781,2631,5,5,"0","0"
93,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Kevin Cox","",1630,16.58,17802,3140,4,4,"0","0"
94,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Debbie Gerkin","",1555,15.81,17802,3140,4,4,"0","0"
95,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Gail Pough","",1051,10.69,17802,3140,4,4,"0","0"
96,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Jane F. Barber","",741,7.54,17802,3140,4,4,"0","0"
97,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Miguel In Suk Lovato","",906,9.21,17802,3140,4,4,"0","0"
98,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Kyla Alysia Armstrong-Romero","",1486,15.11,17802,3140,4,4,"0","0"
99,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Lea Steed","",616,6.26,17802,3140,4,4,"0","0"
100,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Marques Alexander Ivey","",1160,11.80,17802,3140,4,4,"0","0"
101,"Adams-Arapahoe School District 28J Board of Directors At-Large (Vote For 4)","Barbara J. Yamrick","",688,7.00,17802,3140,4,4,"0","0"
102,"Bennett School District 29J School Director At Large (Vote For 2)","Zebulen A. Petre","",389,29.31,2432,909,2,2,"0","0"
103,"Bennett School District 29J School Director At Large (Vote For 2)","James DuBois","",421,31.73,2432,909,2,2,"0","0"
104,"Bennett School District 29J School Director At Large (Vote For 2)","Kyle Meyer","",517,38.96,2432,909,2,2,"0","0"
105,"Brighton School District 27J Director District No. 2 (Vote For 1)","Gary Mikes","",6641,46.69,57410,19292,13,13,"0","0"
106,"Brighton School District 27J Director District No. 2 (Vote For 1)","Kevin Robert Kerber","",7584,53.31,57410,19292,13,13,"0","0"
107,"Brighton School District 27J Director District No. 4 (Vote For 1)","Blaine Nickeson","",8723,62.16,57410,19292,13,13,"0","0"
108,"Brighton School District 27J Director District No. 4 (Vote For 1)","Greg Lee","",5310,37.84,57410,19292,13,13,"0","0"
109,"Brighton School District 27J Director District No. 5 (Vote For 1)","Kerrie A. Gutierrez","",5400,37.44,57410,19292,13,13,"0","0"
110,"Brighton School District 27J Director District No. 5 (Vote For 1)","Mandy Thomas","",9023,62.56,57410,19292,13,13,"0","0"
111,"Brighton School District 27J Director District No. 6 (Vote For 1)","Jennifer Venerable","",10343,71.89,57410,19292,13,13,"0","0"
112,"Brighton School District 27J Director District No. 6 (Vote For 1)","Stanley Lewis Hiller","",4044,28.11,57410,19292,13,13,"0","0"
113,"Byers School District 32J School Board Director (Vote For 3)","Jay Bauer","",66,34.20,339,99,2,2,"0","0"
114,"Byers School District 32J School Board Director (Vote For 3)","Donna J. Sauer","",57,29.53,339,99,2,2,"0","0"
115,"Byers School District 32J School Board Director (Vote For 3)","Charles ""Charlie"" Tucker ","",70,36.27,339,99,2,2,"0","0"
116,"Westminster Public Schools Board of Education At Large (Vote For 2)","Joseph R. Davidek","",4071,30.51,40188,8003,5,5,"0","0"
117,"Westminster Public Schools Board of Education At Large (Vote For 2)","Gay Lynn Jameson","",3863,28.95,40188,8003,5,5,"0","0"
118,"Westminster Public Schools Board of Education At Large (Vote For 2)","Ryan McCoy","",5410,40.54,40188,8003,5,5,"0","0"
119,"Wiggins School District RE-50J Board of Education At Large (Vote For 2)","Dale E. Fleming","",0,0.00,28,5,1,1,"0","0"
120,"Wiggins School District RE-50J Board of Education At Large (Vote For 2)","Sara Kopetzky","",5,55.56,28,5,1,1,"0","0"
121,"Wiggins School District RE-50J Board of Education At Large (Vote For 2)","Mike Miller","",3,33.33,28,5,1,1,"0","0"
122,"Wiggins School District RE-50J Board of Education At Large (Vote For 2)","Jodi L. Walker","",1,11.11,28,5,1,1,"0","0"
123,"City of Thornton Ballot Question 2A (Vote For 1)","Yes","",10123,57.17,76379,18636,9,9,"0","0"
124,"City of Thornton Ballot Question 2A (Vote For 1)","No","",7583,42.83,76379,18636,9,9,"0","0"
125,"City of Thornton Ballot Question 2B (Vote For 1)","Yes","",14090,78.67,76379,18636,9,9,"0","0"
126,"City of Thornton Ballot Question 2B (Vote For 1)","No","",3821,21.33,76379,18636,9,9,"0","0"
127,"City of Commerce City Ballot Issue 2C (Vote For 1)","Yes","",3610,53.14,27943,7011,6,6,"0","0"
128,"City of Commerce City Ballot Issue 2C (Vote For 1)","No","",3184,46.86,27943,7011,6,6,"0","0"
129,"Town of Lochbuie Ballot Issue 2D (Vote For 1)","Yes","",0,0.00,1,1,1,1,"0","0"
130,"Town of Lochbuie Ballot Issue 2D (Vote For 1)","No","",1,100.00,1,1,1,1,"0","0"
131,"Town of Lochbuie Ballot Issue 2E (Vote For 1)","Yes","",0,0.00,1,1,1,1,"0","0"
132,"Town of Lochbuie Ballot Issue 2E (Vote For 1)","No","",1,100.00,1,1,1,1,"0","0"
133,"City of Northglenn Ballot Issue 2F (Vote For 1)","Yes","",3871,71.26,22588,5572,4,4,"0","0"
134,"City of Northglenn Ballot Issue 2F (Vote For 1)","No","",1561,28.74,22588,5572,4,4,"0","0"
135,"City of Northglenn Ballot Question 2G (Vote For 1)","Yes","",3529,68.39,22588,5572,4,4,"0","0"
136,"City of Northglenn Ballot Question 2G (Vote For 1)","No","",1631,31.61,22588,5572,4,4,"0","0"
137,"City of Northglenn Ballot Question 2H (Vote For 1)","Yes","",2009,39.06,22588,5572,4,4,"0","0"
138,"City of Northglenn Ballot Question 2H (Vote For 1)","No","",3134,60.94,22588,5572,4,4,"0","0"
139,"City of Northglenn Ballot Question 2I (Vote For 1)","Yes","",2054,39.46,22588,5572,4,4,"0","0"
140,"City of Northglenn Ballot Question 2I (Vote For 1)","No","",3151,60.54,22588,5572,4,4,"0","0"
141,"City of Brighton Ballot Issue 2J (Vote For 1)","Yes/For","",2354,35.18,20498,6904,4,4,"0","0"
142,"City of Brighton Ballot Issue 2J (Vote For 1)","No/Against","",4338,64.82,20498,6904,4,4,"0","0"
143,"City of Aurora Ballot Question 2K (Vote For 1)","Yes","",1399,43.69,18490,3280,5,5,"0","0"
144,"City of Aurora Ballot Question 2K (Vote For 1)","No","",1803,56.31,18490,3280,5,5,"0","0"
145,"City of Federal Heights Ballot Issue 2L (Vote For 1)","Yes","",584,57.65,5517,1033,5,5,"0","0"
146,"City of Federal Heights Ballot Issue 2L (Vote For 1)","No","",429,42.35,5517,1033,5,5,"0","0"
147,"City of Federal Heights Ballot Question 2M (Vote For 1)","Yes","",679,67.16,5517,1033,5,5,"0","0"
148,"City of Federal Heights Ballot Question 2M (Vote For 1)","No","",332,32.84,5517,1033,5,5,"0","0"
149,"City of Federal Heights Ballot Question 2N (Vote For 1)","Yes","",760,74.07,5517,1033,5,5,"0","0"
150,"City of Federal Heights Ballot Question 2N (Vote For 1)","No","",266,25.93,5517,1033,5,5,"0","0"
151,"Byers School District 32J Ballot Question 3A (Vote For 1)","Yes","",14,14.29,339,99,2,2,"0","0"
152,"Byers School District 32J Ballot Question 3A (Vote For 1)","No","",84,85.71,339,99,2,2,"0","0"
153,"Byers School District 32J Ballot Question 3B (Vote For 1)","Yes/For","",46,46.94,339,99,2,2,"0","0"
154,"Byers School District 32J Ballot Question 3B (Vote For 1)","No/Against","",52,53.06,339,99,2,2,"0","0"
155,"Brighton School District 27J Ballot Issue 3D (Vote For 1)","Yes","",9129,47.87,57410,19292,13,13,"0","0"
156,"Brighton School District 27J Ballot Issue 3D (Vote For 1)","No","",9941,52.13,57410,19292,13,13,"0","0"
157,"Bennett Fire Protection District No. 7 Ballot Issue 4D (Vote For 1)","Yes","",484,47.36,2528,1029,5,5,"0","0"
158,"Bennett Fire Protection District No. 7 Ballot Issue 4D (Vote For 1)","No","",538,52.64,2528,1029,5,5,"0","0"
159,"Sable-Altura Fire Protection District Ballot Issue 4E (Vote For 1)","Yes","",0,0.00,12,96,3,3,"0","0"
160,"Sable-Altura Fire Protection District Ballot Issue 4E (Vote For 1)","No","",1,100.00,12,96,3,3,"0","0"
161,"Strasburg Fire Protection District No. 8 Ballot Issue 4F (Vote For 1)","Yes","",361,51.57,2522,767,3,3,"0","0"
162,"Strasburg Fire Protection District No. 8 Ballot Issue 4F (Vote For 1)","No","",339,48.43,2522,767,3,3,"0","0"
