"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Arvada Councilmember At Large (Vote For 1)","Dot Miller","",118,35.33,2072,341,1,1,"0","0"
2,"City of Arvada Councilmember At Large (Vote For 1)","Jordan Hohenstein","",80,23.95,2072,341,1,1,"0","0"
3,"City of Arvada Councilmember At Large (Vote For 1)","Dave Palm","",44,13.17,2072,341,1,1,"0","0"
4,"City of Arvada Councilmember At Large (Vote For 1)","Jim Whitfield","",49,14.67,2072,341,1,1,"0","0"
5,"City of Arvada Councilmember At Large (Vote For 1)","John Malito","",43,12.87,2072,341,1,1,"0","0"
6,"City of Aurora Council Member Ward I (Vote For 1)","Sally Mounier","",500,39.31,7960,1327,1,1,"0","0"
7,"City of Aurora Council Member Ward I (Vote For 1)","Crystal Murillo","",772,60.69,7960,1327,1,1,"0","0"
8,"City of Aurora Council Member Ward II (Vote For 1)","Bob Hagedorn","",446,24.27,10530,1953,4,4,"0","0"
9,"City of Aurora Council Member Ward II (Vote For 1)","Nicole Emily Johnston","",873,47.50,10530,1953,4,4,"0","0"
10,"City of Aurora Council Member Ward II (Vote For 1)","Ruben L. Medina","",232,12.62,10530,1953,4,4,"0","0"
11,"City of Aurora Council Member Ward II (Vote For 1)","Robert E. O'Riley","",181,9.85,10530,1953,4,4,"0","0"
12,"City of Aurora Council Member Ward II (Vote For 1)","Jeff Wilson","",106,5.77,10530,1953,4,4,"0","0"
13,"City of Aurora Council Member At-Large (Vote For 2)","Brian E. Arnold","",586,11.15,18490,3280,5,5,"0","0"
14,"City of Aurora Council Member At-Large (Vote For 2)","Dave Gruber","",698,13.29,18490,3280,5,5,"0","0"
15,"City of Aurora Council Member At-Large (Vote For 2)","Reid Hettich","",247,4.70,18490,3280,5,5,"0","0"
16,"City of Aurora Council Member At-Large (Vote For 2)","Allison Hiltz","",1513,28.80,18490,3280,5,5,"0","0"
17,"City of Aurora Council Member At-Large (Vote For 2)","Tim Huffman","",723,13.76,18490,3280,5,5,"0","0"
18,"City of Aurora Council Member At-Large (Vote For 2)","Abel Laeke","",250,4.76,18490,3280,5,5,"0","0"
19,"City of Aurora Council Member At-Large (Vote For 2)","Tom Tobiassen","",757,14.41,18490,3280,5,5,"0","0"
20,"City of Aurora Council Member At-Large (Vote For 2)","Russ Wagner","",480,9.14,18490,3280,5,5,"0","0"
21,"City of Brighton Mayor (Vote For 1)","Wayne Scott","",1793,28.30,20498,6904,4,4,"0","0"
22,"City of Brighton Mayor (Vote For 1)","Ken Kreutzer","",3073,48.51,20498,6904,4,4,"0","0"
23,"City of Brighton Mayor (Vote For 1)","Kirby Wallin","",1469,23.19,20498,6904,4,4,"0","0"
24,"City of Brighton Councilmember Ward 1 (Vote For 1)","Joan Kniss","",774,48.59,5112,1733,1,1,"0","0"
25,"City of Brighton Councilmember Ward 1 (Vote For 1)","Matt Johnston","",722,45.32,5112,1733,1,1,"0","0"
26,"City of Brighton Councilmember Ward 1 (Vote For 1)","Andrew W. Butler","",97,6.09,5112,1733,1,1,"0","0"
27,"City of Brighton Councilmember Ward 2 (Vote For 1)","Gregory Mills","",578,39.24,5192,1640,1,1,"0","0"
28,"City of Brighton Councilmember Ward 2 (Vote For 1)","D. R. Dill","",416,28.24,5192,1640,1,1,"0","0"
29,"City of Brighton Councilmember Ward 2 (Vote For 1)","Ferman ''Sonny'' Maestas","",479,32.52,5192,1640,1,1,"0","0"
30,"City of Brighton Councilmember Ward 3 (Vote For 1)","R. Wayne Walvoord","",297,25.56,4705,1342,1,1,"0","0"
31,"City of Brighton Councilmember Ward 3 (Vote For 1)","Clint Blackhurst","",865,74.44,4705,1342,1,1,"0","0"
32,"City of Brighton Councilmember Ward 4 (Vote For 1)","Mark Humbert","",1259,69.56,5489,2189,1,1,"0","0"
33,"City of Brighton Councilmember Ward 4 (Vote For 1)","Archie Demarest","",551,30.44,5489,2189,1,1,"0","0"
34,"City of Commerce City Councilmember - Ward I (Vote For 1)","Gene Leffel","",464,46.03,5529,1068,2,2,"0","0"
35,"City of Commerce City Councilmember - Ward I (Vote For 1)","Oscar Madera","",544,53.97,5529,1068,2,2,"0","0"
36,"City of Commerce City Councilmember - Ward III (Vote For 1)","Tawnya Russell","",402,23.47,7782,2076,2,2,"0","0"
37,"City of Commerce City Councilmember - Ward III (Vote For 1)","Jacob Wilson","",451,26.33,7782,2076,2,2,"0","0"
38,"City of Commerce City Councilmember - Ward III (Vote For 1)","Nicole Frank","",860,50.20,7782,2076,2,2,"0","0"
39,"City of Commerce City Councilmember - At Large (Vote For 2)","Anthony Stellato","",1585,17.06,27943,7011,6,6,"0","0"
40,"City of Commerce City Councilmember - At Large (Vote For 2)","José Guardiola","",1795,19.32,27943,7011,6,6,"0","0"
41,"City of Commerce City Councilmember - At Large (Vote For 2)","Benjamin Huseman","",2418,26.02,27943,7011,6,6,"0","0"
42,"City of Commerce City Councilmember - At Large (Vote For 2)","Alan Howell","",952,10.25,27943,7011,6,6,"0","0"
43,"City of Commerce City Councilmember - At Large (Vote For 2)","William Jackson","",1284,13.82,27943,7011,6,6,"0","0"
44,"City of Commerce City Councilmember - At Large (Vote For 2)","Harvest Thomas III","",1258,13.54,27943,7011,6,6,"0","0"
45,"City of Federal Heights Council Member Ward One (2 year term) (Vote For 1)","Mark Joseph Stickel","",211,100.00,1971,323,2,2,"0","0"
46,"City of Federal Heights Council Member Ward One (4 year term) (Vote For 1)","Harold Thomas","",189,100.00,1971,323,2,2,"0","0"
47,"City of Federal Heights Council Member Ward Two (4 year term) (Vote For 1)","Carolyn R. Scharf","",342,100.00,1819,436,2,2,"0","0"
48,"City of Federal Heights Council Member Ward Three (2 year term) (Vote For 1)","Elaine Sweeney","",203,100.00,1727,274,1,1,"0","0"
49,"City of Federal Heights Council Member Ward Three (4 year term) (Vote For 1)","Ken R. Murphy","",159,62.85,1727,274,1,1,"0","0"
50,"City of Federal Heights Council Member Ward Three (4 year term) (Vote For 1)","Theodore ''Ted'' F. May","",94,37.15,1727,274,1,1,"0","0"
51,"City of Northglenn Mayor (Vote For 1)","Debbie Olander","",1481,27.38,22588,5572,4,4,"0","0"
52,"City of Northglenn Mayor (Vote For 1)","Gene Wieneke","",1094,20.22,22588,5572,4,4,"0","0"
53,"City of Northglenn Mayor (Vote For 1)","Carol Dodge","",2835,52.40,22588,5572,4,4,"0","0"
54,"City of Northglenn Council Member Ward 1 (Vote For 1)","Meredith Leighty","",482,39.83,5584,1319,1,1,"0","0"
55,"City of Northglenn Council Member Ward 1 (Vote For 1)","Ashley Witkovich","",372,30.74,5584,1319,1,1,"0","0"
56,"City of Northglenn Council Member Ward 1 (Vote For 1)","Alexander ''Skinny'' Winkler","",356,29.42,5584,1319,1,1,"0","0"
57,"City of Northglenn Council Member Ward 2 (Vote For 1)","Joyce Downing","",642,50.00,5741,1339,1,1,"0","0"
58,"City of Northglenn Council Member Ward 2 (Vote For 1)","Danielle Henry","",642,50.00,5741,1339,1,1,"0","0"
59,"City of Northglenn Council Member Ward 3 (Vote For 1)","Tim Postlewaite","",239,23.62,5341,1066,1,1,"0","0"
60,"City of Northglenn Council Member Ward 3 (Vote For 1)","Julie Duran Mullica","",592,58.50,5341,1066,1,1,"0","0"
61,"City of Northglenn Council Member Ward 3 (Vote For 1)","Derrick C. Levy","",181,17.89,5341,1066,1,1,"0","0"
62,"City of Northglenn Council Member Ward 4 (Vote For 1)","Jenny Willford","",1008,56.57,5922,1848,1,1,"0","0"
63,"City of Northglenn Council Member Ward 4 (Vote For 1)","Phyllis Musk","",353,19.81,5922,1848,1,1,"0","0"
64,"City of Northglenn Council Member Ward 4 (Vote For 1)","Helmut W. Koeckert","",421,23.63,5922,1848,1,1,"0","0"
65,"City of Thornton Councilmember - Ward 1 (Vote For 1)","Sandra Wolfe","",472,20.69,14894,2391,2,2,"0","0"
66,"City of Thornton Councilmember - Ward 1 (Vote For 1)","Tracy L. Crespin","",519,22.75,14894,2391,2,2,"0","0"
67,"City of Thornton Councilmember - Ward 1 (Vote For 1)","Sherry Goodman","",904,39.63,14894,2391,2,2,"0","0"
68,"City of Thornton Councilmember - Ward 1 (Vote For 1)","Steven R Cervanates","",386,16.92,14894,2391,2,2,"0","0"
69,"City of Thornton Councilmember - Ward 2 (Vote For 1)","Seth ''Isaiah'' Thomas","",1129,33.75,17719,3466,3,3,"0","0"
70,"City of Thornton Councilmember - Ward 2 (Vote For 1)","Evelyn Rozales","",492,14.71,17719,3466,3,3,"0","0"
71,"City of Thornton Councilmember - Ward 2 (Vote For 1)","Jessica Sandgren","",1724,51.54,17719,3466,3,3,"0","0"
72,"City of Thornton Councilmember - Ward 3 (Vote For 1)","David Acunto","",1948,34.00,21401,6279,2,2,"0","0"
73,"City of Thornton Councilmember - Ward 3 (Vote For 1)","Sam Nizam","",2209,38.56,21401,6279,2,2,"0","0"
74,"City of Thornton Councilmember - Ward 3 (Vote For 1)","SomXai Vue","",1572,27.44,21401,6279,2,2,"0","0"
75,"City of Thornton Councilmember - Ward 4 (Vote For 1)","Janifer ''Jan'' Kulmann","",3179,50.32,22365,6500,2,2,"0","0"
76,"City of Thornton Councilmember - Ward 4 (Vote For 1)","Suzie Brundage","",3138,49.68,22365,6500,2,2,"0","0"
77,"City of Westminster Mayor (Vote For 1)","Bruce Baker","",3494,30.21,43826,11830,2,2,"0","0"
78,"City of Westminster Mayor (Vote For 1)","Herb Atchison","",5466,47.26,43826,11830,2,2,"0","0"
79,"City of Westminster Mayor (Vote For 1)","Rich Seymour","",2607,22.54,43826,11830,2,2,"0","0"
80,"City of Westminster City Councillor (Vote For 3)","Kathryn Skulley","",5096,16.66,43826,11830,2,2,"0","0"
81,"City of Westminster City Councillor (Vote For 3)","Emma Pinter","",5972,19.53,43826,11830,2,2,"0","0"
82,"City of Westminster City Councillor (Vote For 3)","David DeMott","",5408,17.68,43826,11830,2,2,"0","0"
83,"City of Westminster City Councillor (Vote For 3)","Jackson Dreiling","",4389,14.35,43826,11830,2,2,"0","0"
