"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Lamar Mayor-At Large (Vote For 1)","Roger Stagner","",887,54.12,4272,1658,3,3,"0","0"
2,"City of Lamar Mayor-At Large (Vote For 1)","Felix Dias","",752,45.88,4272,1658,3,3,"0","0"
3,"City of Lamar City Councilman-Ward 1 (Vote For 1)","Kirk Crespin","",508,100.00,1655,696,1,1,"0","0"
4,"City of Lamar City Councilman-Ward 2 (Vote For 1)","Gerald (Oscar) Riley","",315,100.00,1216,476,1,1,"0","0"
5,"Holly School District RE-3 School Director (Vote For 3)","Sheila Rae Tefertiller","",114,8.66,906,459,1,1,"0","0"
6,"Holly School District RE-3 School Director (Vote For 3)","Kenia R Vazquez","",145,11.02,906,459,1,1,"0","0"
7,"Holly School District RE-3 School Director (Vote For 3)","Monica Suzanne Leiker","",101,7.67,906,459,1,1,"0","0"
8,"Holly School District RE-3 School Director (Vote For 3)","Kevin S Humrich","",226,17.17,906,459,1,1,"0","0"
9,"Holly School District RE-3 School Director (Vote For 3)","Evan Vance Brian JR","",80,6.08,906,459,1,1,"0","0"
10,"Holly School District RE-3 School Director (Vote For 3)","Tanya L Rushton","",262,19.91,906,459,1,1,"0","0"
11,"Holly School District RE-3 School Director (Vote For 3)","Jesse Lane Frey","",388,29.48,906,459,1,1,"0","0"
12,"Lamar School District RE-2 School Board Director-District A (Vote For 1)","Cade Spitz","",871,45.41,5309,2029,4,4,"0","0"
13,"Lamar School District RE-2 School Board Director-District A (Vote For 1)","Rod Dunn","",1047,54.59,5309,2029,4,4,"0","0"
14,"Lamar School District RE-2 School Board Director-District B (Vote For 1)","Lanie Meyers-Mireles","",1418,100.00,5309,2029,4,4,"0","0"
15,"Lamar School District RE-2 School Board Director-District C (Vote For 1)","Connie Jacobsen","",1479,100.00,5309,2029,4,4,"0","0"
16,"Lamar School District RE-2 School Board Director-District E (Vote For 1)","Nancy Winsor","",1438,100.00,5309,2029,4,4,"0","0"
17,"Lamar School District RE-2 School Board Director-District G (Vote For 1)","Chris Wilkinson","",1555,100.00,5309,2029,4,4,"0","0"
18,"Wiley School District RE-13 JT School Director (Vote For 4)","Neil Mauch","",212,22.27,572,261,1,1,"0","0"
19,"Wiley School District RE-13 JT School Director (Vote For 4)","Bradley W Lubbers","",154,16.18,572,261,1,1,"0","0"
20,"Wiley School District RE-13 JT School Director (Vote For 4)","Danielle Wollert","",107,11.24,572,261,1,1,"0","0"
21,"Wiley School District RE-13 JT School Director (Vote For 4)","Clint Bean","",63,6.62,572,261,1,1,"0","0"
22,"Wiley School District RE-13 JT School Director (Vote For 4)","Jeremy Summers","",105,11.03,572,261,1,1,"0","0"
23,"Wiley School District RE-13 JT School Director (Vote For 4)","Josh Weimer","",164,17.23,572,261,1,1,"0","0"
24,"Wiley School District RE-13 JT School Director (Vote For 4)","Chad D Krentz","",147,15.44,572,261,1,1,"0","0"
25,"City of Lamar Ballot Issue 2A (Vote For 1)","Yes/For","",732,47.32,4272,1658,3,3,"0","0"
26,"City of Lamar Ballot Issue 2A (Vote For 1)","No/Against","",815,52.68,4272,1658,3,3,"0","0"
