"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Aurora Council Member At-Large (Vote For 2)","Brian E. Arnold","",7535,10.51,192346,41223,173,173,"0","0"
2,"City of Aurora Council Member At-Large (Vote For 2)","Dave Gruber","",12748,17.78,192346,41223,173,173,"0","0"
3,"City of Aurora Council Member At-Large (Vote For 2)","Reid Hettich","",2693,3.76,192346,41223,173,173,"0","0"
4,"City of Aurora Council Member At-Large (Vote For 2)","Allison Hiltz","",16123,22.49,192346,41223,173,173,"0","0"
5,"City of Aurora Council Member At-Large (Vote For 2)","Tim Huffman","",11068,15.44,192346,41223,173,173,"0","0"
6,"City of Aurora Council Member At-Large (Vote For 2)","Abel Laeke","",2709,3.78,192346,41223,173,173,"0","0"
7,"City of Aurora Council Member At-Large (Vote For 2)","Tom Tobiassen","",12671,17.67,192346,41223,173,173,"0","0"
8,"City of Aurora Council Member At-Large (Vote For 2)","Russ Wagner","",6153,8.58,192346,41223,173,173,"0","0"
9,"City of Aurora Council Member Ward I (Vote For 1)","Sally Mounier","",744,39.28,10637,1972,10,10,"0","0"
10,"City of Aurora Council Member Ward I (Vote For 1)","Crystal Murillo","",1150,60.72,10637,1972,10,10,"0","0"
11,"City of Aurora Council Member Ward II (Vote For 1)","Bob Hagedorn","",1087,23.41,26563,5040,25,25,"0","0"
12,"City of Aurora Council Member Ward II (Vote For 1)","Nicole Emily Johnston","",2346,50.52,26563,5040,25,25,"0","0"
13,"City of Aurora Council Member Ward II (Vote For 1)","Ruben L. Medina","",371,7.99,26563,5040,25,25,"0","0"
14,"City of Aurora Council Member Ward II (Vote For 1)","Robert E. O'Riley","",571,12.30,26563,5040,25,25,"0","0"
15,"City of Aurora Council Member Ward II (Vote For 1)","Jeff Wilson","",269,5.79,26563,5040,25,25,"0","0"
16,"City of Aurora Council Member Ward III (Vote For 1)","Marsha Berzins","",1954,34.97,30940,5927,30,30,"0","0"
17,"City of Aurora Council Member Ward III (Vote For 1)","Robert Hargrove","",454,8.12,30940,5927,30,30,"0","0"
18,"City of Aurora Council Member Ward III (Vote For 1)","Debi Hunter Holen","",909,16.27,30940,5927,30,30,"0","0"
19,"City of Aurora Council Member Ward III (Vote For 1)","Martha Lugo","",1260,22.55,30940,5927,30,30,"0","0"
20,"City of Aurora Council Member Ward III (Vote For 1)","Naquetta Ricks","",1011,18.09,30940,5927,30,30,"0","0"
21,"City of Centennial Mayor (Vote For 1)","Charles ''C.J.'' Whelan III","",10848,44.61,80838,25612,84,84,"0","0"
22,"City of Centennial Mayor (Vote For 1)","Stephanie Piko","",13471,55.39,80838,25612,84,84,"0","0"
23,"City of Centennial Council Member District 1 (Vote For 1)","Kathy Turley","",5470,100.00,21816,7403,22,22,"0","0"
24,"City of Centennial Council Member District 2 (Vote For 1)","Bennett Rutledge","",852,14.13,19713,6866,20,20,"0","0"
25,"City of Centennial Council Member District 2 (Vote For 1)","Tammy Maurer","",2531,41.97,19713,6866,20,20,"0","0"
26,"City of Centennial Council Member District 2 (Vote For 1)","Doris Truhlar","",1742,28.89,19713,6866,20,20,"0","0"
27,"City of Centennial Council Member District 2 (Vote For 1)","Nancy Nickless","",905,15.01,19713,6866,20,20,"0","0"
28,"City of Centennial Council Member District 3 (Vote For 1)","Mike Sutherland","",4963,100.00,22001,7101,25,25,"0","0"
29,"City of Centennial Council Member District 4 (Vote For 1)","Charlette Fleming","",1635,33.97,20455,5123,19,19,"0","0"
30,"City of Centennial Council Member District 4 (Vote For 1)","John Miquel","",1529,31.77,20455,5123,19,19,"0","0"
31,"City of Centennial Council Member District 4 (Vote For 1)","Marlo Alston","",1649,34.26,20455,5123,19,19,"0","0"
32,"City of Englewood Office of Council Member At-Large (Vote For 1)","Steven R. Yates","",1330,23.87,23164,5762,25,25,"0","0"
33,"City of Englewood Office of Council Member At-Large (Vote For 1)","Joe Anderson","",1707,30.64,23164,5762,25,25,"0","0"
34,"City of Englewood Office of Council Member At-Large (Vote For 1)","Cheryl Wink","",2534,45.49,23164,5762,25,25,"0","0"
35,"City of Englewood Office of Municipal Judge (Vote For 1)","Clifton Hypsher","",519,9.22,23164,5762,25,25,"0","0"
36,"City of Englewood Office of Municipal Judge (Vote For 1)","Joe Jefferson","",2855,50.70,23164,5762,25,25,"0","0"
37,"City of Englewood Office of Municipal Judge (Vote For 1)","Angie Schmitz","",2257,40.08,23164,5762,25,25,"0","0"
38,"City of Englewood Office of Council Member District 2 (Vote For 1)","Linda Olson","",1125,100.00,7613,1792,8,8,"0","0"
39,"City of Englewood Office of Council Member District 4 (Vote For 1)","Rick Gillit","",720,47.94,5742,1561,7,7,"0","0"
40,"City of Englewood Office of Council Member District 4 (Vote For 1)","Dave Cuesta","",782,52.06,5742,1561,7,7,"0","0"
41,"City of Greenwood Village Councilmember District 1 (Vote For 2)","Freda Miklin","",585,20.43,3269,1608,4,4,"0","0"
42,"City of Greenwood Village Councilmember District 1 (Vote For 2)","Dave Bullock","",1248,43.59,3269,1608,4,4,"0","0"
43,"City of Greenwood Village Councilmember District 1 (Vote For 2)","Jerry Presley","",1030,35.98,3269,1608,4,4,"0","0"
44,"City of Greenwood Village Councilmember District 2 (Vote For 2)","Dave Kerber","",530,28.53,4342,963,3,3,"0","0"
45,"City of Greenwood Village Councilmember District 2 (Vote For 2)","Anne Ingebretsen","",544,29.28,4342,963,3,3,"0","0"
46,"City of Greenwood Village Councilmember District 2 (Vote For 2)","Darryl Jones","",367,19.75,4342,963,3,3,"0","0"
47,"City of Greenwood Village Councilmember District 2 (Vote For 2)","Henry Siegel","",99,5.33,4342,963,3,3,"0","0"
48,"City of Greenwood Village Councilmember District 2 (Vote For 2)","Seanna Mulligan","",318,17.12,4342,963,3,3,"0","0"
49,"City of Greenwood Village Councilmember District 3 (Vote For 2)","Steve Moran","",671,50.26,5514,951,4,4,"0","0"
50,"City of Greenwood Village Councilmember District 3 (Vote For 2)","George Lantz","",664,49.74,5514,951,4,4,"0","0"
51,"City of Greenwood Village Councilmember District 4 (Vote For 2)","Jeff Kahn","",170,9.52,6307,1521,4,4,"0","0"
52,"City of Greenwood Village Councilmember District 4 (Vote For 2)","T.J. Gordon","",523,29.28,6307,1521,4,4,"0","0"
53,"City of Greenwood Village Councilmember District 4 (Vote For 2)","Thomas J. Dougherty","",526,29.45,6307,1521,4,4,"0","0"
