"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Steamboat Springs City Council - District I (Vote For 1)","Lisel Petis","",2180,100.00,10775,3783,8,8,"0","0"
2,"City of Steamboat Springs City Council - District II (Vote For 1)","Kathi Meyer","",2270,100.00,10775,3783,8,8,"0","0"
3,"City of Steamboat Springs City Council - District III (Vote For 1)","Sonja Macys","",2206,100.00,10775,3783,8,8,"0","0"
4,"City of Steamboat Springs City Council - At Large (Vote For 1)","Peter Arnold","",699,21.99,10775,3783,8,8,"0","0"
5,"City of Steamboat Springs City Council - At Large (Vote For 1)","Scott L. Ford","",2480,78.01,10775,3783,8,8,"0","0"
6,"Steamboat Springs School District RE-2 Director At Large (Vote For 2)","Mayling E. Simpson","",2047,48.30,15260,5522,13,13,"0","0"
7,"Steamboat Springs School District RE-2 Director At Large (Vote For 2)","Katherine ''Katy'' Lee","",2191,51.70,15260,5522,13,13,"0","0"
8,"Hayden School District RE-1 Director At Large (Vote For 3)","Timothy A. Frentress Sr.","",521,26.58,1378,862,2,2,"0","0"
9,"Hayden School District RE-1 Director At Large (Vote For 3)","Medora C. Fralick","",379,19.34,1378,862,2,2,"0","0"
10,"Hayden School District RE-1 Director At Large (Vote For 3)","Janet Hollifield","",347,17.70,1378,862,2,2,"0","0"
11,"Hayden School District RE-1 Director At Large (Vote For 3)","Brian F. Hoza","",386,19.69,1378,862,2,2,"0","0"
12,"Hayden School District RE-1 Director At Large (Vote For 3)","Aden Morrison","",327,16.68,1378,862,2,2,"0","0"
13,"South Routt School District RE-3 Director District 1 (Vote For 1)","Andrew A. Benjamin","",233,41.46,2580,626,3,3,"0","0"
14,"South Routt School District RE-3 Director District 1 (Vote For 1)","Loren Lance Miles","",329,58.54,2580,626,3,3,"0","0"
15,"South Routt School District RE-3 Director District 3 (Vote For 1)","James Hoff","",454,100.00,2580,626,3,3,"0","0"
16,"South Routt School District RE-3 Director District 6 (Vote For 1)","Robert ''Bob'' Logan","",515,100.00,2580,626,3,3,"0","0"
17,"Eagle County School District RE-50J School Board Director District B (Vote For 1)","Kate Cocchiarella","",3,100.00,128,174,1,1,"0","0"
18,"Eagle County School District RE-50J School Board Director District E (Vote For 1)","Inga Haagenson Causey","",3,100.00,128,174,1,1,"0","0"
19,"Eagle County School District RE-50J School Board Director District F (Vote For 1)","Melisa Rewold-Thuon","",3,100.00,128,174,1,1,"0","0"
20,"Eagle County School District RE-50J School Board Director District G (Vote For 1)","Matthew A. Koch","",2,50.00,128,174,1,1,"0","0"
21,"Eagle County School District RE-50J School Board Director District G (Vote For 1)","Michele ''Shelly'' Jarnot","",2,50.00,128,174,1,1,"0","0"
22,"Colorado Mountain College Board of Trustees Director District 1 (Vote For 1)","Charles Cunniffe","",2583,100.00,15388,5696,14,14,"0","0"
23,"Colorado Mountain College Board of Trustees Director District 3 (Vote For 1)","Peg Portscheller","",1551,60.37,15388,5696,14,14,"0","0"
24,"Colorado Mountain College Board of Trustees Director District 3 (Vote For 1)","Randy Winkler","",1018,39.63,15388,5696,14,14,"0","0"
25,"Colorado Mountain College Board of Trustees Director District 7 (Vote For 1)","Doris Dewton","",2493,100.00,15388,5696,14,14,"0","0"
26,"Town of Hayden Ballot Issue 2A (Vote For 1)","Yes/For","",325,58.04,1378,862,2,2,"0","0"
27,"Town of Hayden Ballot Issue 2A (Vote For 1)","No/Against","",235,41.96,1378,862,2,2,"0","0"
28,"City of Steamboat Springs Ballot Question 2B (Vote For 1)","Yes/For","",2359,64.33,10775,3783,8,8,"0","0"
29,"City of Steamboat Springs Ballot Question 2B (Vote For 1)","No/Against","",1308,35.67,10775,3783,8,8,"0","0"
30,"Hayden School District RE-1 Ballot Issue 3A (Vote For 1)","Yes/For","",431,50.12,1378,862,2,2,"0","0"
31,"Hayden School District RE-1 Ballot Issue 3A (Vote For 1)","No/Against","",429,49.88,1378,862,2,2,"0","0"
32,"Steamboat Springs School District RE-2 Ballot Issue 3C (Vote For 1)","Yes/For","",3226,60.46,15260,5522,13,13,"0","0"
33,"Steamboat Springs School District RE-2 Ballot Issue 3C (Vote For 1)","No/Against","",2110,39.54,15260,5522,13,13,"0","0"
34,"Steamboat Springs School District RE-2 Ballot Issue 3D (Vote For 1)","Yes/For","",3410,62.92,15260,5522,13,13,"0","0"
35,"Steamboat Springs School District RE-2 Ballot Issue 3D (Vote For 1)","No/Against","",2010,37.08,15260,5522,13,13,"0","0"
36,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","Yes/For","",2736,51.19,15388,5696,14,14,"0","0"
37,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","No/Against","",2609,48.81,15388,5696,14,14,"0","0"
38,"Yampa Valley Housing Authority Ballot Issue 5A (Vote For 1)","Yes/For","",2860,55.90,15781,5399,13,13,"0","0"
39,"Yampa Valley Housing Authority Ballot Issue 5A (Vote For 1)","No/Against","",2256,44.10,15781,5399,13,13,"0","0"
