"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Bayfield School District 10 Jt-R Board of Education (Vote For 2)","Daniele Hillyer","",4,30.77,21,9,1,1,"0","0"
2,"Bayfield School District 10 Jt-R Board of Education (Vote For 2)","Peggy Whiteman","",5,38.46,21,9,1,1,"0","0"
3,"Bayfield School District 10 Jt-R Board of Education (Vote For 2)","Mark W Haeussler","",4,30.77,21,9,1,1,"0","0"
4,"Archuleta County Ballot Question 1A (Vote For 1)","Yes/For","",2025,48.43,10383,4192,3,3,"0","0"
5,"Archuleta County Ballot Question 1A (Vote For 1)","No/Against","",2156,51.57,10383,4192,3,3,"0","0"
6,"San Juan Water Conservancy District Ballot Issue 5A (Vote For 1)","Yes/For","",879,24.53,8708,3635,2,2,"0","0"
7,"San Juan Water Conservancy District Ballot Issue 5A (Vote For 1)","No/Against","",2705,75.47,8708,3635,2,2,"0","0"
