"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Bayfield School District 10 Jt-R Board of Education (Vote For 2)","Daniele Hillyer","",848,39.96,7285,1252,2,2,"0","0"
2,"Bayfield School District 10 Jt-R Board of Education (Vote For 2)","Peggy Whiteman","",681,32.09,7285,1252,2,2,"0","0"
3,"Bayfield School District 10 Jt-R Board of Education (Vote For 2)","Mark W. Haeussler","",593,27.95,7285,1252,2,2,"0","0"
4,"Durango School District 9-R Board of Education District A (Vote For 1)","Nancy A. Stubbs","",5233,100.00,32731,9203,3,3,"0","0"
5,"Durango School District 9-R Board of Education District C (Vote For 1)","Mick Souder","",5236,100.00,32731,9203,3,3,"0","0"
6,"Durango School District 9-R Board of Education District E (Vote For 1)","Shere Kuss Byrd","",3141,50.20,32731,9203,3,3,"0","0"
7,"Durango School District 9-R Board of Education District E (Vote For 1)","Emily Newcomer","",3116,49.80,32731,9203,3,3,"0","0"
8,"City of Durango Ballot Question 2A (Vote For 1)","Yes/For","",2925,73.14,14962,4040,1,1,"0","0"
9,"City of Durango Ballot Question 2A (Vote For 1)","No/Against","",1074,26.86,14962,4040,1,1,"0","0"
10,"Durango Fire Protection District Ballot Question 4A (Vote For 1)","Yes/For","",3364,70.16,14962,4839,4,4,"0","0"
11,"Durango Fire Protection District Ballot Question 4A (Vote For 1)","No/Against","",1431,29.84,14962,4839,4,4,"0","0"
