"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Holyoke School District RE-1J School Board Director (Vote For 3)","Trampas D. Hutches","",431,19.43,2085,878,1,1,"0","0"
2,"Holyoke School District RE-1J School Board Director (Vote For 3)","Jon Kleve","",699,31.51,2085,878,1,1,"0","0"
3,"Holyoke School District RE-1J School Board Director (Vote For 3)","Patricia Wiebers","",663,29.89,2085,878,1,1,"0","0"
4,"Holyoke School District RE-1J School Board Director (Vote For 3)","Sue Razo","",425,19.16,2085,878,1,1,"0","0"
5,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Tamara Durbin","",384,31.66,1100,572,3,3,"0","0"
6,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Staci Tempel","",467,38.50,1100,572,3,3,"0","0"
7,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Jay Wisdom","",362,29.84,1100,572,3,3,"0","0"
8,"Town Of Haxtun Ballot Issue 2A (Vote For 1)","Yes/For","",222,60.66,754,370,1,1,"0","0"
9,"Town Of Haxtun Ballot Issue 2A (Vote For 1)","No/Against","",144,39.34,754,370,1,1,"0","0"
10,"Haxtun School District RE-2J Ballot Issue 3A (Vote For 1)","Yes/For","",326,57.60,1100,572,3,3,"0","0"
11,"Haxtun School District RE-2J Ballot Issue 3A (Vote For 1)","No/Against","",240,42.40,1100,572,3,3,"0","0"
12,"Holyoke Fire Protection District Ballot Issue 5A (Vote For 1)","Yes/For","",195,49.24,2126,900,2,2,"0","0"
13,"Holyoke Fire Protection District Ballot Issue 5A (Vote For 1)","No/Against","",201,50.76,2126,900,2,2,"0","0"
