"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
40,"Lewis-Palmer School District #38 Director District 3 ( 1)","Tiffiney Upchurch","",5866,53.88,28940,12829,19,19,"0","0"
41,"Lewis-Palmer School District #38 Director District 3 ( 1)","Thomas De Angelis","",5022,46.12,28940,12829,19,19,"0","0"
42,"Manitou Springs School District 14 Director ( 2)","Natalie Johnson","",1215,28.10,7428,2502,7,7,"0","0"
43,"Manitou Springs School District 14 Director ( 2)","Christina Vidovich","",942,21.79,7428,2502,7,7,"0","0"
44,"Manitou Springs School District 14 Director ( 2)","Anna H. Lord","",749,17.32,7428,2502,7,7,"0","0"
45,"Manitou Springs School District 14 Director ( 2)","Jonathan T. Dooley","",598,13.83,7428,2502,7,7,"0","0"
46,"Manitou Springs School District 14 Director ( 2)","Jack Sharon","",820,18.96,7428,2502,7,7,"0","0"
47,"Peyton School District 23JT Director ( 3)","Jim Eckelberry","",557,35.80,4527,1194,4,4,"0","0"
48,"Peyton School District 23JT Director ( 3)","Bart Hanks","",494,31.75,4527,1194,4,4,"0","0"
49,"Peyton School District 23JT Director ( 3)","Julie Mannering","",505,32.46,4527,1194,4,4,"0","0"
50,"Widefield School District 3 Director (4 Year Term) ( 3)","Susan Waller-Graham","",4047,31.25,30241,7822,20,20,"0","0"
51,"Widefield School District 3 Director (4 Year Term) ( 3)","Charron Schoenberger","",4312,33.30,30241,7822,20,20,"0","0"
52,"Widefield School District 3 Director (4 Year Term) ( 3)","Theresa Watson","",4590,35.45,30241,7822,20,20,"0","0"
53,"Widefield School District 3 Director  (2 Year Term) ( 1)","Neil Nelson","",6476,100.00,30241,7822,20,20,"0","0"
54,"El Paso County Ballot Issue 1A ( 1)","Yes","",102187,67.20,396208,146402,279,279,"0","0"
55,"El Paso County Ballot Issue 1A ( 1)","No","",49868,32.80,396208,146402,279,279,"0","0"
56,"City of Colorado Springs Ballot Question 2A ( 1)","Yes","",55511,53.69,278620,106605,192,192,"0","0"
57,"City of Colorado Springs Ballot Question 2A ( 1)","No","",47883,46.31,278620,106605,192,192,"0","0"
58,"City of Manitou Springs Ballot Issue  2B ( 1)","Yes","",522,24.12,3836,2200,3,3,"0","0"
59,"City of Manitou Springs Ballot Issue  2B ( 1)","No","",1642,75.88,3836,2200,3,3,"0","0"
60,"City of Manitou Springs Ballot Question 2C ( 1)","Yes","",1809,84.34,3836,2200,3,3,"0","0"
61,"City of Manitou Springs Ballot Question 2C ( 1)","No","",336,15.66,3836,2200,3,3,"0","0"
62,"Widefield School District 3 Ballot Issue 3A ( 1)","Yes","",5195,58.02,30241,7822,20,20,"0","0"
63,"Widefield School District 3 Ballot Issue 3A ( 1)","No","",3759,41.98,30241,7822,20,20,"0","0"
64,"Widefield School District 3 Ballot Issue 3B ( 1)","Yes","",5049,56.45,30241,7822,20,20,"0","0"
65,"Widefield School District 3 Ballot Issue 3B ( 1)","No","",3895,43.55,30241,7822,20,20,"0","0"
66,"Fremont RE-2 School District Ballot Question 3C ( 1)","Yes/For","",52,77.61,3281,432,3,3,"0","0"
67,"Fremont RE-2 School District Ballot Question 3C ( 1)","No/Against","",15,22.39,3281,432,3,3,"0","0"
68,"Cheyenne Mountain School District 12 Ballot Issue 3D ( 1)","Yes","",6115,74.78,21955,8309,13,13,"0","0"
69,"Cheyenne Mountain School District 12 Ballot Issue 3D ( 1)","No","",2062,25.22,21955,8309,13,13,"0","0"
70,"Colorado Springs School District 11 Ballot Issue 3E ( 1)","Yes","",33045,57.32,146433,58017,105,105,"0","0"
71,"Colorado Springs School District 11 Ballot Issue 3E ( 1)","No","",24601,42.68,146433,58017,105,105,"0","0"
72,"Hanover School District 28 Ballot Question 3F ( 1)","Yes","",154,39.09,2858,433,3,3,"0","0"
73,"Hanover School District 28 Ballot Question 3F ( 1)","No","",240,60.91,2858,433,3,3,"0","0"
74,"Peyton School District 23JT Ballot Question 3G ( 1)","Yes","",599,50.72,4527,1194,4,4,"0","0"
75,"Peyton School District 23JT Ballot Question 3G ( 1)","No","",582,49.28,4527,1194,4,4,"0","0"
76,"Peyton School District 23JT Ballot Question 3H ( 1)","Yes","",446,38.88,4527,1194,4,4,"0","0"
77,"Peyton School District 23JT Ballot Question 3H ( 1)","No","",701,61.12,4527,1194,4,4,"0","0"
78,"Green Mountain Falls - Chipita Park Fire Protection District Ballot Issue 4A ( 1)","Yes","",460,84.71,2455,296,3,3,"0","0"
79,"Green Mountain Falls - Chipita Park Fire Protection District Ballot Issue 4A ( 1)","No","",83,15.29,2455,296,3,3,"0","0"
80,"Tri-Lakes Monument Fire Protection District Ballot Issue 5A ( 1)","Yes","",6618,61.76,23799,11455,17,17,"0","0"
81,"Tri-Lakes Monument Fire Protection District Ballot Issue 5A ( 1)","No","",4098,38.24,23799,11455,17,17,"0","0"
82,"Pikes Peak Rural Transportation Authority Ballot Issue 5B ( 1)","Yes","",95684,66.11,389987,144798,275,275,"0","0"
83,"Pikes Peak Rural Transportation Authority Ballot Issue 5B ( 1)","No","",49057,33.89,389987,144798,275,275,"0","0"
84,"Donald Wescott Fire Protection District Northern Subdistrict Ballot Issue 5C ( 1)","Yes","",2157,62.50,12260,5952,9,9,"0","0"
85,"Donald Wescott Fire Protection District Northern Subdistrict Ballot Issue 5C ( 1)","No","",1294,37.50,12260,5952,9,9,"0","0"
