"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Manitou Springs Mayor ( 1)","Nicole Nicoletta","",763,35.41,3836,2200,3,3,"0","0"
2,"City of Manitou Springs Mayor ( 1)","Ken Jaray","",1392,64.59,3836,2200,3,3,"0","0"
3,"City of Manitou Springs City Council Ward One ( 1)","Susan Wolbrueck","",441,100.00,1398,732,1,1,"0","0"
4,"City of Manitou Springs City Council Ward Two ( 1)","Nancy Fortuin","",510,100.00,1233,794,1,1,"0","0"
5,"City of Manitou Springs City Council Ward Three ( 1)","Bob Todd","",446,100.00,1205,674,1,1,"0","0"
6,"Academy School District 20 Director ( 3)","Karin Reynolds","",13182,24.85,73948,29768,49,49,"0","0"
7,"Academy School District 20 Director ( 3)","Thomas LaValley","",11123,20.97,73948,29768,49,49,"0","0"
8,"Academy School District 20 Director ( 3)","William H. Temby","",10353,19.52,73948,29768,49,49,"0","0"
9,"Academy School District 20 Director ( 3)","Doug Lundberg","",10370,19.55,73948,29768,49,49,"0","0"
10,"Academy School District 20 Director ( 3)","Eric S. Davis","",8012,15.11,73948,29768,49,49,"0","0"
11,"Big Sandy School District 100J Director (4 Year Term) ( 2)","Greg Mitchell","",68,39.77,386,120,1,1,"0","0"
12,"Big Sandy School District 100J Director (4 Year Term) ( 2)","Chad Maranville","",54,31.58,386,120,1,1,"0","0"
13,"Big Sandy School District 100J Director (4 Year Term) ( 2)","Lori Ellefson","",49,28.65,386,120,1,1,"0","0"
14,"Big Sandy School District 100J Director (2 Year Term) ( 1)","Nancy Sotomayor","",83,100.00,386,120,1,1,"0","0"
15,"Cheyenne Mountain School District 12 Director (4 Year Term) ( 2)","Randle W Case II","",4557,52.86,21955,8309,13,13,"0","0"
16,"Cheyenne Mountain School District 12 Director (4 Year Term) ( 2)","Nissa Steinhour","",4064,47.14,21955,8309,13,13,"0","0"
17,"Cheyenne Mountain School District 12 Director  (2 Year Term) ( 1)","Susan Morris Mellow","",5259,100.00,21955,8309,13,13,"0","0"
18,"Colorado Springs School District 11 Director  (2 Year Term) ( 1)","Mary Coleman","",34864,100.00,146433,58017,105,105,"0","0"
19,"Colorado Springs School District 11 Director (4 Year Term) ( 3)","Morgan Chavez","",13473,15.56,146433,58017,105,105,"0","0"
20,"Colorado Springs School District 11 Director (4 Year Term) ( 3)","Julie Ott","",27943,32.27,146433,58017,105,105,"0","0"
21,"Colorado Springs School District 11 Director (4 Year Term) ( 3)","Shawn Gullixson","",20706,23.91,146433,58017,105,105,"0","0"
22,"Colorado Springs School District 11 Director (4 Year Term) ( 3)","Jim Mason","",24467,28.26,146433,58017,105,105,"0","0"
23,"Fountain-Fort Carson School District 8 Director ( 2)","Rose Terrell","",1195,32.01,18576,2646,14,14,"0","0"
24,"Fountain-Fort Carson School District 8 Director ( 2)","Loretta (Lori) Kimball","",1288,34.50,18576,2646,14,14,"0","0"
25,"Fountain-Fort Carson School District 8 Director ( 2)","Michelle Hopkins","",1250,33.49,18576,2646,14,14,"0","0"
26,"Fremont RE-2 School District Director District E ( 1)","Andy Franklin","",48,100.00,3281,432,3,3,"0","0"
27,"Fremont RE-2 School District Director District F ( 1)","Linda Schmidt","",48,100.00,3281,432,3,3,"0","0"
28,"Hanover School District 28 Director ( 2)","Juanita Beazley","",84,14.71,2858,433,3,3,"0","0"
29,"Hanover School District 28 Director ( 2)","Dwight Smith","",112,19.61,2858,433,3,3,"0","0"
30,"Hanover School District 28 Director ( 2)","Edward A Sweazy","",157,27.50,2858,433,3,3,"0","0"
31,"Hanover School District 28 Director ( 2)","Scott T Gardner","",99,17.34,2858,433,3,3,"0","0"
32,"Hanover School District 28 Director ( 2)","Charity Garrett","",78,13.66,2858,433,3,3,"0","0"
33,"Hanover School District 28 Director ( 2)","Ross Minks","",41,7.18,2858,433,3,3,"0","0"
34,"Harrison School District 2 Director ( 3)","Linda M. Pugh","",3579,30.52,36021,8369,26,26,"0","0"
35,"Harrison School District 2 Director ( 3)","Steven R. Seibert","",2661,22.69,36021,8369,26,26,"0","0"
36,"Harrison School District 2 Director ( 3)","Joshua Hitchcock","",2505,21.36,36021,8369,26,26,"0","0"
37,"Harrison School District 2 Director ( 3)","Jeannie Orozco","",2981,25.42,36021,8369,26,26,"0","0"
38,"Lewis-Palmer School District #38 Director District 1 ( 1)","Sherri Hawkins","",5161,47.58,28940,12829,19,19,"0","0"
39,"Lewis-Palmer School District #38 Director District 1 ( 1)","Chris G. Taylor","",5686,52.42,28940,12829,19,19,"0","0"
