"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Alamosa RE-11J School District Director District 1 ( 1)","Elias ''Eli'' Heredia","",2,20.00,74,10,1,1,"0","0"
2,"Alamosa RE-11J School District Director District 1 ( 1)","Thomas ''Thom'' Miller  MD","",8,80.00,74,10,1,1,"0","0"
3,"Alamosa RE-11J School District Director District 1 ( 1)","Star Quintana","",0,0.00,74,10,1,1,"0","0"
4,"Alamosa RE-11J School District Director District 4 ( 1)","Erica N. Romero","",8,100.00,74,10,1,1,"0","0"
5,"South Conejos School District No. RE-10 Director District A ( 1)","Alfonzo A. Abeyta Jr.","",228,33.28,1570,695,1,1,"0","0"
6,"South Conejos School District No. RE-10 Director District A ( 1)","Rod Ruybalid","",457,66.72,1570,695,1,1,"0","0"
7,"South Conejos School District No. RE-10 Director District B ( 1)","Joyce E Duran","",340,52.23,1570,695,1,1,"0","0"
8,"South Conejos School District No. RE-10 Director District B ( 1)","Robert Duran","",311,47.77,1570,695,1,1,"0","0"
9,"South Conejos School District No. RE-10 Director District C ( 1)","Reyes Garcia","",293,44.26,1570,695,1,1,"0","0"
10,"South Conejos School District No. RE-10 Director District C ( 1)","Eufemia ''Femy'' Martinez- Duran","",369,55.74,1570,695,1,1,"0","0"
11,"South Conejos School District No. RE-10 Proposition 3A ( 1)","Yes/For","",284,53.38,1570,695,1,1,"0","0"
12,"South Conejos School District No. RE-10 Proposition 3A ( 1)","No/Against","",248,46.62,1570,695,1,1,"0","0"
