"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Edgewater Mayor (Vote For 1)","Todd Riddle","",278,26.23,3324,1074,1,1,"0","0"
2,"City of Edgewater Mayor (Vote For 1)","Grant Babb","",258,24.34,3324,1074,1,1,"0","0"
3,"City of Edgewater Mayor (Vote For 1)","Laura Keegan","",321,30.28,3324,1074,1,1,"0","0"
4,"City of Edgewater Mayor (Vote For 1)","Bonnie McNulty","",203,19.15,3324,1074,1,1,"0","0"
5,"City of Arvada Councilmember At Large (Vote For 1)","Dot Miller","",7328,27.73,85004,27574,3,3,"0","0"
6,"City of Arvada Councilmember At Large (Vote For 1)","Jordan Hohenstein","",4943,18.70,85004,27574,3,3,"0","0"
7,"City of Arvada Councilmember At Large (Vote For 1)","Dave Palm","",2404,9.10,85004,27574,3,3,"0","0"
8,"City of Arvada Councilmember At Large (Vote For 1)","Jim Whitfield","",6943,26.27,85004,27574,3,3,"0","0"
9,"City of Arvada Councilmember At Large (Vote For 1)","John Malito","",4811,18.20,85004,27574,3,3,"0","0"
10,"City of Edgewater City Council Member (Vote For 3)","Cory Reid-Vanas","",398,15.39,3324,1074,1,1,"0","0"
11,"City of Edgewater City Council Member (Vote For 3)","Darrin Levy","",387,14.97,3324,1074,1,1,"0","0"
12,"City of Edgewater City Council Member (Vote For 3)","John Beltrone","",627,24.25,3324,1074,1,1,"0","0"
13,"City of Edgewater City Council Member (Vote For 3)","Caleb Rountree","",505,19.53,3324,1074,1,1,"0","0"
14,"City of Edgewater City Council Member (Vote For 3)","Virgie Carr","",214,8.28,3324,1074,1,1,"0","0"
15,"City of Edgewater City Council Member (Vote For 3)","Janet Spangenberg","",455,17.59,3324,1074,1,1,"0","0"
16,"City of Littleton Council Member at Large (Vote For 2)","Kyle Schlachter","",358,29.06,1802,731,1,1,"0","0"
17,"City of Littleton Council Member at Large (Vote For 2)","Karina Elrod","",379,30.76,1802,731,1,1,"0","0"
18,"City of Littleton Council Member at Large (Vote For 2)","Doug Clark","",250,20.29,1802,731,1,1,"0","0"
19,"City of Littleton Council Member at Large (Vote For 2)","Carol Brzeczek","",245,19.89,1802,731,1,1,"0","0"
20,"Town of Mountain View Mayor (Vote For 1)","Jeff Kiddie","",25,11.85,420,211,1,1,"0","0"
21,"Town of Mountain View Mayor (Vote For 1)","Jon Richardson","",15,7.11,420,211,1,1,"0","0"
22,"Town of Mountain View Mayor (Vote For 1)","Glenn Levy","",171,81.04,420,211,1,1,"0","0"
23,"Town of Mountain View Town Council (Vote For 3)","Lisa Maurath","",83,18.20,420,211,1,1,"0","0"
24,"Town of Mountain View Town Council (Vote For 3)","Mladenka V Boehrer","",95,20.83,420,211,1,1,"0","0"
25,"Town of Mountain View Town Council (Vote For 3)","Leola M Boone","",96,21.05,420,211,1,1,"0","0"
26,"Town of Mountain View Town Council (Vote For 3)","Kathleen S Bailey","",182,39.91,420,211,1,1,"0","0"
27,"City of Westminster Mayor (Vote For 1)","Bruce Baker","",1798,21.24,31368,8776,1,1,"0","0"
28,"City of Westminster Mayor (Vote For 1)","Herb Atchison","",4035,47.66,31368,8776,1,1,"0","0"
29,"City of Westminster Mayor (Vote For 1)","Rich Seymour","",2634,31.11,31368,8776,1,1,"0","0"
30,"City of Westminster City Councillor (Vote For 3)","Kathryn Skulley","",3862,17.91,31368,8776,1,1,"0","0"
31,"City of Westminster City Councillor (Vote For 3)","Emma Pinter","",4351,20.17,31368,8776,1,1,"0","0"
32,"City of Westminster City Councillor (Vote For 3)","David DeMott","",3832,17.77,31368,8776,1,1,"0","0"
33,"City of Westminster City Councillor (Vote For 3)","Jackson Dreiling","",3192,14.80,31368,8776,1,1,"0","0"
34,"City of Westminster City Councillor (Vote For 3)","Lindsey Smith","",3239,15.02,31368,8776,1,1,"0","0"
35,"City of Westminster City Councillor (Vote For 3)","Mark Clark","",3092,14.34,31368,8776,1,1,"0","0"
36,"City of Wheat Ridge Mayor (Vote For 1)","Bud Starker","",4362,53.89,23345,8246,5,5,"0","0"
37,"City of Wheat Ridge Mayor (Vote For 1)","Joe E DeMott","",3733,46.11,23345,8246,5,5,"0","0"
38,"City of Golden City Council Ward 1 (Vote For 1)","Robert W Reed","",563,55.85,3629,1075,2,2,"0","0"
39,"City of Golden City Council Ward 1 (Vote For 1)","Micah Allen","",445,44.15,3629,1075,2,2,"0","0"
40,"City of Golden City Council Ward 2 (Vote For 1)","Deborah A Deal","",239,18.00,3623,1407,1,1,"0","0"
41,"City of Golden City Council Ward 2 (Vote For 1)","Paul Haseman","",654,49.25,3623,1407,1,1,"0","0"
42,"City of Golden City Council Ward 2 (Vote For 1)","Dan Sung","",339,25.53,3623,1407,1,1,"0","0"
43,"City of Golden City Council Ward 2 (Vote For 1)","Josh Thompson","",96,7.23,3623,1407,1,1,"0","0"
44,"City of Golden City Council Ward 3 (Vote For 1)","Jim Dale","",1337,100.00,3582,1616,1,1,"0","0"
45,"City of Golden City Council Ward 4 (Vote For 1)","Mikey Sheridan","",271,25.40,3692,1099,1,1,"0","0"
46,"City of Golden City Council Ward 4 (Vote For 1)","Laura Weinberg","",796,74.60,3692,1099,1,1,"0","0"
47,"City of Arvada Councilmember District 1 (Vote For 1)","Nancy Ford","",4406,100.00,19614,6250,1,1,"0","0"
48,"City of Arvada Councilmember District 3 (Vote For 1)","John Marriott","",3939,100.00,20292,5720,1,1,"0","0"
