"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
49,"City of Lakewood City Council Ward 1 (Vote For 1)","Kyra deGruy","",3364,48.20,21844,7148,2,2,"0","0"
50,"City of Lakewood City Council Ward 1 (Vote For 1)","Ramey Johnson","",3615,51.80,21844,7148,2,2,"0","0"
51,"City of Lakewood City Council Ward 2 (Vote For 1)","Jacob LaBure","",2257,58.75,18258,4012,2,2,"0","0"
52,"City of Lakewood City Council Ward 2 (Vote For 1)","Charles K Davis","",1585,41.25,18258,4012,2,2,"0","0"
53,"City of Lakewood City Council Ward 3 (Vote For 1)","Mike Bieda","",3254,52.50,22165,6421,2,2,"0","0"
54,"City of Lakewood City Council Ward 3 (Vote For 1)","Michael Gifford","",2944,47.50,22165,6421,2,2,"0","0"
55,"City of Lakewood City Council Ward 4 (Vote For 1)","LaDawn Sperling","",1796,21.11,23781,8846,1,1,"0","0"
56,"City of Lakewood City Council Ward 4 (Vote For 1)","Bill Furman","",2227,26.17,23781,8846,1,1,"0","0"
57,"City of Lakewood City Council Ward 4 (Vote For 1)","David Skilling","",4486,52.72,23781,8846,1,1,"0","0"
58,"City of Lakewood City Council Ward 5 (Vote For 1)","Karen Harrison","",3365,53.69,22808,6475,2,2,"0","0"
59,"City of Lakewood City Council Ward 5 (Vote For 1)","Nancy Pallozzi","",2902,46.31,22808,6475,2,2,"0","0"
60,"City of Lakewood Retention of Presiding Judge Anne Stavig (Vote For 1)","Yes/For","",22871,78.88,108856,32902,9,9,"0","0"
61,"City of Lakewood Retention of Presiding Judge Anne Stavig (Vote For 1)","No/Against","",6123,21.12,108856,32902,9,9,"0","0"
62,"City of Lakewood Retention of Municipal Judge Daniel E. Ramsey (Vote For 1)","Yes/For","",21551,75.17,108856,32902,9,9,"0","0"
63,"City of Lakewood Retention of Municipal Judge Daniel E. Ramsey (Vote For 1)","No/Against","",7118,24.83,108856,32902,9,9,"0","0"
64,"City of Wheat Ridge Councilmember District I (Vote For 1)","Janeece Hoppe","",1439,100.00,5943,2027,1,1,"0","0"
65,"City of Wheat Ridge Councilmember District II (Vote For 1)","Rachel Hultin","",1048,49.04,5689,2180,1,1,"0","0"
66,"City of Wheat Ridge Councilmember District II (Vote For 1)","Zachary ''Zach'' Urban","",1089,50.96,5689,2180,1,1,"0","0"
67,"City of Wheat Ridge Councilmember District III (Vote For 1)","Tim Fitzgerald","",1713,100.00,6378,2603,2,2,"0","0"
68,"City of Wheat Ridge Councilmember District IV (Vote For 1)","Ruth Baranowski","",120,8.69,5335,1436,1,1,"0","0"
69,"City of Wheat Ridge Councilmember District IV (Vote For 1)","Andy Rasmussen","",305,22.09,5335,1436,1,1,"0","0"
70,"City of Wheat Ridge Councilmember District IV (Vote For 1)","Valerie Nosler Beck","",410,29.69,5335,1436,1,1,"0","0"
71,"City of Wheat Ridge Councilmember District IV (Vote For 1)","Leah Marie Dozeman","",546,39.54,5335,1436,1,1,"0","0"
72,"Jefferson County School District R-1 Director District 1 (Vote For 1)","Brad Rupert","",74525,60.47,422030,133662,31,31,"0","0"
73,"Jefferson County School District R-1 Director District 1 (Vote For 1)","Matt Van Gieson","",48719,39.53,422030,133662,31,31,"0","0"
74,"Jefferson County School District R-1 Director District 2 (Vote For 1)","Susan Harmon","",73434,59.62,422030,133662,31,31,"0","0"
75,"Jefferson County School District R-1 Director District 2 (Vote For 1)","Erica Shields","",49741,40.38,422030,133662,31,31,"0","0"
76,"Jefferson County School District R-1 Director District 5 (Vote For 1)","Ron Mitchell","",97595,100.00,422030,133662,31,31,"0","0"
77,"City of Golden Ballot Question 2A (Vote For 1)","Yes/For","",4140,81.67,14526,5197,5,5,"0","0"
78,"City of Golden Ballot Question 2A (Vote For 1)","No/Against","",929,18.33,14526,5197,5,5,"0","0"
79,"City Of Littleton Ballot Issue 2C (Vote For 1)","Yes/For","",556,77.33,1802,731,1,1,"0","0"
80,"City Of Littleton Ballot Issue 2C (Vote For 1)","No/Against","",163,22.67,1802,731,1,1,"0","0"
81,"City Of Littleton Ballot Issue 2D (Vote For 1)","Yes/For","",437,61.64,1802,731,1,1,"0","0"
82,"City Of Littleton Ballot Issue 2D (Vote For 1)","No/Against","",272,38.36,1802,731,1,1,"0","0"
83,"South Suburban Park and Recreation District Ballot Issue 4B (Vote For 1)","Yes/For","",545,76.01,1802,735,2,2,"0","0"
84,"South Suburban Park and Recreation District Ballot Issue 4B (Vote For 1)","No/Against","",172,23.99,1802,735,2,2,"0","0"
85,"South Suburban Park and Recreation District Ballot Issue 4C (Vote For 1)","Yes/For","",447,62.78,1802,735,2,2,"0","0"
86,"South Suburban Park and Recreation District Ballot Issue 4C (Vote For 1)","No/Against","",265,37.22,1802,735,2,2,"0","0"
87,"Mount Vernon Country Club Metropolitan District Ballot Issue 5A (Vote For 1)","Yes/For","",148,93.08,226,162,2,2,"0","0"
88,"Mount Vernon Country Club Metropolitan District Ballot Issue 5A (Vote For 1)","No/Against","",11,6.92,226,162,2,2,"0","0"
89,"Northwest Lakewood Sanitation District Ballot Issue 5B (Vote For 1)","Yes/For","",1983,46.95,10051,4461,5,5,"0","0"
90,"Northwest Lakewood Sanitation District Ballot Issue 5B (Vote For 1)","No/Against","",2241,53.05,10051,4461,5,5,"0","0"
91,"Foothills Park & Recreation District Ballot Issue 5C (Vote For 1)","Yes/For","",14097,57.95,70745,24749,5,5,"0","0"
92,"Foothills Park & Recreation District Ballot Issue 5C (Vote For 1)","No/Against","",10228,42.05,70745,24749,5,5,"0","0"
93,"Idledale Water & Sanitation District Ballot Issue 5D (Vote For 1)","Yes/For","",89,72.95,219,122,2,2,"0","0"
94,"Idledale Water & Sanitation District Ballot Issue 5D (Vote For 1)","No/Against","",33,27.05,219,122,2,2,"0","0"
95,"Idledale Water & Sanitation District Ballot Issue 5E (Vote For 1)","Yes/For","",84,71.79,219,122,2,2,"0","0"
96,"Idledale Water & Sanitation District Ballot Issue 5E (Vote For 1)","No/Against","",33,28.21,219,122,2,2,"0","0"
